vereador,total,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,TELEFONE FIXO,TELEFONE MOVEL,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,INTERMEDIADO - CORREIOS,COMBUSTIVEL,CONTRATAÇAO DE PESSOA JURIDICA,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,INTERMEDIADO - LOCAÇÃO VEICULOS HIBRIDOS,EVENTOS/SEMINARIOS,PROVEDOR DE INTERNET,LIMPEZA DE VEICULOS,REPROGRAFIA (XEROX/ENCADERNAÇÃO),ASSINATURA DE JORNAIS E REVISTAS,CORREIOS,ESTACIONAMENTO,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),LIVROS,LUBRIFICANTE,APERFEIÇOAMENTO PROFISSIONAL,LOCAÇÃO DE VEICULOS HIBRIDOS,LOCAÇÃO DE VEÍCULOS
BOMBEIRO MAJOR PALUMBO,157843.06,19300.26,0.0,1091.97,15243.0,1088.76,6633.66,93730.0,7085.2,0.0,3516.1,0.0,6349.96,323.55,0.0,3480.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANSÃO PEREIRA,157168.35,19300.26,0.0,1487.21,20675.0,0.0,7532.29,92166.67,9209.12,0.0,6797.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELAINE DO QUILOMBO PERIFÉRICO,151511.43,7995.82,779.49,0.0,34136.0,0.0,1582.84,73500.0,0.0,200.14,4627.82,14931.84,9697.7,173.0,0.0,0.0,3607.77,0.0,0.0,0.0,279.01,0.0,0.0,0.0,0.0
RUTE COSTA,151475.25,3768.14,0.0,0.0,50400.0,21990.72,1893.0,5509.0,3300.0,0.0,44098.3,20516.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDRÉ SANTOS,147616.04,551.44,0.0,0.0,13961.0,0.0,9282.61,89325.0,2460.0,0.0,3771.0,24764.99,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BETO DO SOCIAL,144260.49,11947.78,0.0,0.0,53670.0,0.0,7279.62,46342.0,0.0,21540.0,2836.05,0.0,0.0,645.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSELINO TATTO,143998.94,275.72,0.0,1133.14,41800.0,65.28,11640.38,5154.0,12275.4,21500.0,25025.84,25129.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JORGE WILSON FILHO,138187.35,18473.11,0.0,0.0,43590.0,0.0,2885.14,72933.0,0.0,0.0,306.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDRA TADEU,135716.99,0.0,1718.31,2426.5,7367.0,2660.77,4575.18,82969.46,0.0,0.0,3886.2,25493.37,4580.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,0.0,0.0,0.0,0.0,0.0
MILTON FERREIRA,128091.12,0.0,0.0,1985.7,0.0,0.0,550.0,39900.0,0.0,0.0,7286.7,25493.37,0.0,0.0,0.0,14490.0,0.0,38323.25,0.0,62.1,0.0,0.0,0.0,0.0,0.0
RINALDI DIGILIO,126381.28,19300.26,0.0,2854.8,31300.0,0.0,4870.0,40197.21,11850.0,10200.0,1498.25,0.0,0.0,3321.36,0.0,0.0,989.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
